422,Port Richmond High School
423,Curtis High School
424,Tottenville High School
425,Susan E. Wagner High School
426,Ralph R. McKee Career and Technical Education High School
427,Staten Island Technical High School
428,The Brooklyn School for Math and Research
429,Academy for Environmental Leadership
430,EBC High School for Public Service - Bushwick
431,Bushwick School for Social Justice
432,Academy of Urban Planning
433,All City Leadership Secondary School
434,Bushwick Leaders High School for Academic Excellence
